movie_id,IMDb_URL,poster_url,movie_title,genres,release_date,Animation,Children,Comedy,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Sci_Fi,Documentary,War,Musical,Mystery,Film_Noir,Western
1,http://www.imdb.com/title/tt0114709/,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@..jpg,Toy Story (1995),"['Animation', ""Children"", 'Comedy']",1995,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,http://www.imdb.com/title/tt0113497/,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Jumanji (1995),"['Adventure', ""Children"", 'Fantasy']",1995,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,http://www.imdb.com/title/tt0113228/,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Grumpier Old Men (1995),"['Comedy', 'Romance']",1995,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,http://www.imdb.com/title/tt0114885/,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@..jpg,Waiting to Exhale (1995),"['Comedy', 'Drama']",1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,http://www.imdb.com/title/tt0113041/,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Father of the Bride Part II (1995),['Comedy'],1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,http://www.imdb.com/title/tt0113277/,https://m.media-amazon.com/images/M/MV5BNDc0YTQ5NGEtM2NkYS00MWRhLThiNzAtNmY3NWU3YzNkMjIyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg,Heat (1995),"['Action', 'Crime', 'Thriller']",1995,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
7,http://www.imdb.com/title/tt0114319/,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@..jpg,Sabrina (1995),"['Comedy', 'Romance']",1995,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,http://www.imdb.com/title/tt0112302/,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@..jpg,Tom and Huck (1995),"['Adventure', ""Children""]",1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,http://www.imdb.com/title/tt0114576/,https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@..jpg,Sudden Death (1995),['Action'],1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,http://www.imdb.com/title/tt0113189/,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@..jpg,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",1995,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11,http://www.imdb.com/title/tt0112346/,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@..jpg,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",1995,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12,http://www.imdb.com/title/tt0112896/,https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@..jpg,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,http://www.imdb.com/title/tt0112453/,https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@..jpg,Balto (1995),"['Animation', ""Children""]",1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,http://www.imdb.com/title/tt0113987/,https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@..jpg,Nixon (1995),['Drama'],1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,http://www.imdb.com/title/tt0112760/,https://m.media-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@..jpg,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",1995,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,http://www.imdb.com/title/tt0112641/,https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@..jpg,Casino (1995),"['Drama', 'Thriller']",1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,http://www.imdb.com/title/tt0114388/,https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@..jpg,Sense and Sensibility (1995),"['Drama', 'Romance']",1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18,http://www.imdb.com/title/tt0113101/,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Four Rooms (1995),['Thriller'],1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,http://www.imdb.com/title/tt0112281/,https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Ace Ventura: When Nature Calls (1995),['Comedy'],1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,http://www.imdb.com/title/tt0113845/,https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,Money Train (1995),['Action'],1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,http://www.imdb.com/title/tt0113161/,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@..jpg,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",1995,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,http://www.imdb.com/title/tt0112722/,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@..jpg,Copycat (1995),"['Crime', 'Drama', 'Thriller']",1995,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
23,http://www.imdb.com/title/tt0112401/,https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@..jpg,Assassins (1995),['Thriller'],1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,http://www.imdb.com/title/tt0114168/,https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@..jpg,Powder (1995),"['Drama', 'Sci-Fi']",1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25,http://www.imdb.com/title/tt0113627/,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@..jpg,Leaving Las Vegas (1995),"['Drama', 'Romance']",1995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
26,http://www.imdb.com/title/tt0114057/,https://m.media-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@..jpg,Othello (1995),['Drama'],1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,http://www.imdb.com/title/tt0114011/,https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@..jpg,Now and Then (1995),['Drama'],1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,http://www.imdb.com/title/tt0114117/,https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5..jpg,Persuasion (1995),['Romance'],1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,http://www.imdb.com/title/tt0112682/,https://m.media-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,http://www.imdb.com/title/tt0112792/,https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Dangerous Minds (1995),['Drama'],1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,http://www.imdb.com/title/tt0114746/,https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",1995,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
